Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
prologue_common_f70b3d4d	yk	Tianho… it seems your game has begun again. And I've always loved a good hunt.	game/02_prologue.rpy	546	yk "[what]"
chapter_1_5628c481	elara	Tianho… Tetrad above… It's even more beautiful than the stories.	game/03_chapter_01.rpy	218	elara "[what]"
chapter_1_a42e2728	elara	Dorian, we should take the kids to see the market! Lucas is going to love this!	game/03_chapter_01.rpy	219	elara "[what]"
chapter_1_eafad893		I exhale a slow breath, watching the evening lights bathe the city of Tianho through my binoculars, reflecting off the rivers that weave through its heart like threads of silver.	game/03_chapter_01.rpy	222	"[what]"
chapter_1_cee7d755		The air smells of spiced tea and roasted chestnuts from the market stalls below, mingling with the faint fragrance of cherry blossoms that line the cobblestone streets.	game/03_chapter_01.rpy	223	"[what]"
chapter_1_d50aca29		The streets below are bustling with life, lined with towering pagodas adorned in colors of crimson, gold, and jade. Lanterns of every imaginable hue float above the streets, their light glowing softly.	game/03_chapter_01.rpy	224	"[what]"
chapter_1_4abc8866	elara	Dorian. Are you even listening to me? You've been standing there for a while now.	game/03_chapter_01.rpy	226	elara "[what]"
chapter_1_c6de4e4d		I turn to face her, sighing as I pocket my binoculars. She's leaning against the doorframe, arms crossed, a wry smile playing on her lips.	game/03_chapter_01.rpy	229	"[what]"
chapter_1_768b3060	elara	You've been standing there long enough to memorize every single detail of the city. Meanwhile, the children are pestering me about seeing the nighttime lantern markets.	game/03_chapter_01.rpy	231	elara "[what]"
chapter_1_2aaf5a0a	elara	I would very much like my HUSBAND to take me there as soon as possible before he vanishes to work tomorrow.	game/03_chapter_01.rpy	232	elara "[what]"
chapter_1_a41a16d5		I sigh, turning back to the view.	game/03_chapter_01.rpy	234	"[what]"
chapter_1_48ecb97d	dorian	My heart, you know how important tomorrow is. Everything has to be perfect.	game/03_chapter_01.rpy	237	dorian "[what]"
chapter_1_06398373		She sighs.	game/03_chapter_01.rpy	239	"[what]"
chapter_1_0ea5825c	elara	I know, Dorian. I know how important it is. The entire world will be watching as Kyeongjang's emperor makes his first public appearance in centuries.	game/03_chapter_01.rpy	241	elara "[what]"
chapter_1_6d2610de	dorian	For centuries, Kyeongjang was nothing more than a legend. Many doubted it even existed, and now, their emperor is emerging from the shadows to reconnect.	game/03_chapter_01.rpy	244	dorian "[what]"
chapter_1_6dd4cac3	dorian	This meeting isn't just a reunion—it's a turning point. Alliances will shift. Trade will flourish—or collapse. Power balances will be rewritten.	game/03_chapter_01.rpy	245	dorian "[what]"
chapter_1_c566e86d	dorian	And you know Her Majesty. She won't settle for anything less than perfection.	game/03_chapter_01.rpy	246	dorian "[what]"
chapter_1_9561b0e6		Elara steps closer, her soft smile returning. She reaches up and brushes her fingertips against my cheek.	game/03_chapter_01.rpy	248	"[what]"
chapter_1_0da331c7	elara	And you, sir Dorian. You're part of that perfection, aren't you? The Dragon of Gale, second only to the High Paladin himself. You'll make sure it all goes smoothly, like you always do.	game/03_chapter_01.rpy	250	elara "[what]"
chapter_1_c575a13d		I manage a faint smile, but the tension in my chest doesn't ease. She notices, of course. She always does.	game/03_chapter_01.rpy	253	"[what]"
chapter_1_1d33586a	elara	But, my heart. That's tomorrow. Tomorrow is for the world, the king and the empress and the emperor and their grand, history-altering plans. But tonight?	game/03_chapter_01.rpy	255	elara "[what]"
chapter_1_393de7e8		She steps even closer, giving my cheek a kiss.	game/03_chapter_01.rpy	257	"[what]"
chapter_1_42b5931d	elara	Tonight, you're not the Dragon of Gale. You're not a paladin. You're my husband. And the father of four wonderful, slightly rambunctious children who are dying to explore this incredible city.	game/03_chapter_01.rpy	259	elara "[what]"
chapter_1_55e3c267	dorian	But, my heart…	game/03_chapter_01.rpy	262	dorian "[what]"
chapter_1_8947b593	elara	No excuses, my heart. You've been working tirelessly ever since we left Gale. Tonight is for us. For me. For the kids who adore their father. For a family that rarely gets days like this together.	game/03_chapter_01.rpy	263	elara "[what]"
chapter_1_2eab814f		I sigh, a small smile finally breaking through my resolve. I kiss her.	game/03_chapter_01.rpy	266	"[what]"
chapter_1_9ed191d0	dorian	Alright, my heart. You win.	game/03_chapter_01.rpy	268	dorian "[what]"
chapter_1_92952504		She returns my kiss, but only briefly as she quickly pulls away. She grabs my hand and pulls me toward the door, her laughter filling the balcony.	game/03_chapter_01.rpy	270	"[what]"
chapter_1_3179aaa5	elara	Come on, Dragon of Gale. The lantern markets won't wait, and neither will the kids!	game/03_chapter_01.rpy	272	elara "[what]"
chapter_1_cc1c00f7		The moment we step out into the street, the kids swarm us, buzzing with excitement.	game/03_chapter_01.rpy	285	"[what]"
chapter_1_75bc5199	lucas	Dad! Dad! Look! Look at all the people! This place is huge!	game/03_chapter_01.rpy	288	lucas "[what]"
chapter_1_f3391040		Lucas' eyes are open wide as he keeps tugging at the hem of my tunic with both hands.	game/03_chapter_01.rpy	291	"[what]"
chapter_1_0c2ae449		I chuckle, bending down to ruffle his hair.	game/03_chapter_01.rpy	292	"[what]"
chapter_1_0fe794cd	dorian	Yes, it is. But remember what I said—stay close, okay?	game/03_chapter_01.rpy	294	dorian "[what]"
chapter_1_ccdaa310		Sarah, as expected, is lost in her own world, flipping through her sketchbook and occasionally glancing up to capture the essence of the city in her drawings.	game/03_chapter_01.rpy	296	"[what]"
chapter_1_003f8575	elara	Sarah… Sarah… Honey. *snaps her fingers* Your father is here.	game/03_chapter_01.rpy	300	elara "[what]"
chapter_1_c37b4fd1	sarah	*mumbles* Oh, hey dad!	game/03_chapter_01.rpy	304	sarah "[what]"
chapter_1_0f5258c6		She glances quickly at me, smiles, then turns back, completely absorbed in her art.	game/03_chapter_01.rpy	305	"[what]"
chapter_1_07f79e57	sarah	This place is full of colors. I need to capture the lanterns. But, I don't know what color they should be…	game/03_chapter_01.rpy	306	sarah "[what]"
chapter_1_d8ab6d90		Emily leans over to Daniel and whispers something in his ear, making him roll his eyes but smirk at the same time.	game/03_chapter_01.rpy	308	"[what]"
chapter_1_347debb5	emily	Come on, Daniel! You have to at least pretend to be excited!	game/03_chapter_01.rpy	312	emily "[what]"
chapter_1_d3cb07e2	daniel	Hey, I am excited! Just not the way you are.	game/03_chapter_01.rpy	316	daniel "[what]"
chapter_1_10e1bfcf	dorian	Come on, kids. We're going to the market.	game/03_chapter_01.rpy	317	dorian "[what]"
chapter_1_c3a6f9b8	elara	But stay close to your father and me. Tianho may be beautiful, but—	game/03_chapter_01.rpy	321	elara "[what]"
chapter_1_72e23a49	emily	You never know what lurks beneath the hearts of strangers and how we kids are gullible and—	game/03_chapter_01.rpy	325	emily "[what]"
chapter_1_540a60ae	daniel	We know that, mom! Stranger Danger a thousand times. Can we just hurry up? I wanna see some dragons.	game/03_chapter_01.rpy	328	daniel "[what]"
chapter_1_d55641ce	sarah	Mom, we need to see the dragons!	game/03_chapter_01.rpy	332	sarah "[what]"
chapter_1_f74b50d4		Elara sighs and kisses Sarah on her forehead.	game/03_chapter_01.rpy	334	"[what]"
chapter_1_67eb5c08	elara	Alright, alright. Let's go see them. But remember, no pretending to be dragons.	game/03_chapter_01.rpy	336	elara "[what]"
chapter_1_61fa3d95		Yes, mom. (in unison)	game/03_chapter_01.rpy	339	"[what]"
chapter_1_a71a44ec		With that, the children take off ahead of us, their chatter and laughter blending into the sounds of the city.	game/03_chapter_01.rpy	341	"[what]"
chapter_1_4a90eabc		Elara walks beside me and I hold her hand.	game/03_chapter_01.rpy	342	"[what]"
chapter_1_f01becf0	elara	So, where should we go first?	game/03_chapter_01.rpy	344	elara "[what]"
chapter_1_dcd78a2a		I look around, taking in the scenery of the market.	game/03_chapter_01.rpy	346	"[what]"
chapter_1_4de4b530	dorian	Well, all of the kids seem intent on finding dragons, and you say that you want to eat at the stalls. I say we follow the flow of the crowd and see where it takes us.	game/03_chapter_01.rpy	348	dorian "[what]"
chapter_1_8244c922		Elara nods, her eyes sparkling with the same excitement I see in the children.	game/03_chapter_01.rpy	350	"[what]"
chapter_1_cf416110	elara	Sounds like a plan. But don't think you're getting off easy, Dragon of Gale. You're carrying the bags.	game/03_chapter_01.rpy	352	elara "[what]"
chapter_1_12c62ba6	dorian	Of course, I am.	game/03_chapter_01.rpy	354	dorian "[what]"
chapter_1_81e12beb		As we move deeper into the marketplace, the city seems to come alive around us. Elara looks at me, her hand still in mine, while the kids fidget and bounce with anticipation.	game/03_chapter_01.rpy	356	"[what]"
chapter_1_ddecba5c		We can go to the Deng Blossom Avenue, where the lanterns for tomorrow are being prepared. There is also the Fanrong Dragon Square, where the rehearsals for tomorrow's Dragon Dances are being held.	game/03_chapter_01.rpy	357	"[what]"
chapter_1_79752d5c		I can also bring them to the Xiangli Centre, where the food stalls are. Or maybe I can lead them straight to the Zhong Lotus Promenade, where inventors are showcasing their inventions for a chance to speak to the Kyeongjang Emperor himself.	game/03_chapter_01.rpy	358	"[what]"
chapter_1_07ac86f8		Either way, we're still going to the Zhong Lotus Promenade. Maybe I can take them to the other places first.	game/03_chapter_01.rpy	359	"[what]"
chapter_1_7fefa247		I glance at Elara, who's watching the children with an amused smile as they eagerly debate where to go first. She meets my eyes and tilts her head slightly.	game/03_chapter_01.rpy	361	"[what]"
chapter_1_ebb5a699	elara	Well, my heart, you're the Father. What'll it be? The kids can't wait.	game/03_chapter_01.rpy	363	elara "[what]"
chapter_1_a4fd7b20	lucas	Hurry up, dad!	game/03_chapter_01.rpy	364	lucas "[what]"
ch1_city_deng_2b60092e		We turn toward Deng Blossom Avenue, a decision met with a satisfied hum from Sarah and nods of approval from the others.	game/03_chapter_01.rpy	417	"[what]"
ch1_city_deng_3dc89f21		The moment we step onto the avenue, lanterns — hundreds, perhaps thousands of them — float effortlessly in the air, their glow soft and ethereal.	game/03_chapter_01.rpy	418	"[what]"
ch1_city_deng_de104d8a		They seem alive, swaying gently as though in sync with the faint breeze that carries the sweet scent of lotus blossoms and jasmine.	game/03_chapter_01.rpy	419	"[what]"
ch1_city_deng_264e82bb	daniel	Look! They're moving!	game/03_chapter_01.rpy	421	daniel "[what]"
ch1_city_deng_47ae5e63	lucas	Are they alive? How are they doing that?	game/03_chapter_01.rpy	422	lucas "[what]"
ch1_city_deng_e333863b	elara	It's breathtaking.	game/03_chapter_01.rpy	424	elara "[what]"
ch1_city_deng_e20f2784	dorian	It is, my heart.	game/03_chapter_01.rpy	425	dorian "[what]"
ch1_city_deng_aca0cd29		Sarah, predictably, has already flipped open her sketchbook, her pencil moving furiously as she tries to capture the scene.	game/03_chapter_01.rpy	427	"[what]"
ch1_city_deng_fed431a9	sarah	Oh gosh! This is so beautiful! The colors… I need to get the colors just right!	game/03_chapter_01.rpy	429	sarah "[what]"
ch1_city_deng_4a101165	sarah	But how do I even start? The reds aren't just red—they're ruby, garnet, scarlet—oh, this is impossible!	game/03_chapter_01.rpy	430	sarah "[what]"
ch1_city_deng_f7e9e5a9	dorian	Take your time, Sarah. The lanterns aren't going anywhere.	game/03_chapter_01.rpy	432	dorian "[what]"
ch1_city_deng_860395c8		Lucas points to a massive lantern shaped like a koi fish.	game/03_chapter_01.rpy	434	"[what]"
ch1_city_deng_d25f1c9a	lucas	Dad look! That lantern's huge!	game/03_chapter_01.rpy	436	lucas "[what]"
ch1_city_deng_19826f09		He darts forward to get a better look. I quickly grab his hand.	game/03_chapter_01.rpy	438	"[what]"
ch1_city_deng_72bfab81	dorian	Careful, Lucas. Stay close.	game/03_chapter_01.rpy	440	dorian "[what]"
ch1_city_deng_a742b8c6	daniel	How do they even make those?	game/03_chapter_01.rpy	441	daniel "[what]"
ch1_city_deng_456b48db	dorian	With bamboo and silk, Daniel.	game/03_chapter_01.rpy	442	dorian "[what]"
ch1_city_deng_3a9c1d47		Lead Fire Channeler: Alright, that's enough! Bring them back, fire channelers!	game/03_chapter_01.rpy	447	"[what]"
ch1_city_deng_6a95a942		A group of figures in crimson robes steps into view at the far end of the avenue, their hands raised in precise, fluid motions. Flames flicker in their palms.	game/03_chapter_01.rpy	449	"[what]"
ch1_city_deng_e050a3f6		One by one, the lanterns return to the fire channelers, floating gently into their hands like obedient birds.	game/03_chapter_01.rpy	450	"[what]"
ch1_city_deng_4d3b0ac1	emily	Dad! They're making them come back!	game/03_chapter_01.rpy	452	emily "[what]"
ch1_city_deng_aa60636f		Emily tugs at my sleeve, her excitement bubbling over.	game/03_chapter_01.rpy	454	"[what]"
ch1_city_deng_5e1e4409	emily	Dad, you're a fire channeler right? Can you make the lanterns move like that?	game/03_chapter_01.rpy	456	emily "[what]"
ch1_city_deng_f84d10c7	dorian	Of course, Emily.	game/03_chapter_01.rpy	458	dorian "[what]"
ch1_city_deng_d897727f	daniel	That's a stupid question, Emily! Dad's the strongest!	game/03_chapter_01.rpy	459	daniel "[what]"
ch1_city_deng_6c3fcd62	elara	Shh! Daniel, watch your words or you'll be heading back to our room at the inn!	game/03_chapter_01.rpy	460	elara "[what]"
ch1_city_deng_a347cda8		All of us watch intently as the last lantern disappears into the robes of the fire channelers.	game/03_chapter_01.rpy	462	"[what]"
ch1_city_deng_a1b777f1		The lead fire channeler finally addresses the crowd.	game/03_chapter_01.rpy	463	"[what]"
ch1_city_deng_a709ccef		Lead Fire Channeler: This is just a rehearsal. Tomorrow, we'll perform before the Emperor of Kyeongjang himself. We better bring our A game.	game/03_chapter_01.rpy	465	"[what]"
ch1_city_deng_0592dde6		Channelers: Sir!	game/03_chapter_01.rpy	466	"[what]"
ch1_city_deng_ae85af44		Sarah closes her sketchbook and walks toward Lucas.	game/03_chapter_01.rpy	468	"[what]"
ch1_city_deng_96165a00	sarah	I'm done!	game/03_chapter_01.rpy	470	sarah "[what]"
ch1_city_deng_1afea88a	daniel	Really? Lemme see!	game/03_chapter_01.rpy	471	daniel "[what]"
ch1_city_deng_4a134588	sarah	Later, Daniel! I'll show it once I place some finishing touches! *giggles*	game/03_chapter_01.rpy	472	sarah "[what]"
ch1_city_deng_b86fc541	lucas	Let's go somewhere else, Dad!	game/03_chapter_01.rpy	473	lucas "[what]"
ch1_city_fanrong_c61862f4		I decided that we go to Fanrong Dragon Square to watch the Dragon dance rehearsals.	game/03_chapter_01.rpy	490	"[what]"
ch1_city_fanrong_1f744028		As we arrive, we find that the square is alive with rhythm and energy, the pounding of drums and clanging of cymbals echoing off the towering pagodas.	game/03_chapter_01.rpy	491	"[what]"
ch1_city_fanrong_5a4137b3		Brightly colored dragons — red, gold, and violet — twist and coil through the crowd, their movements fluid yet deliberate, each step in perfect harmony with the beat of the music.	game/03_chapter_01.rpy	492	"[what]"
ch1_city_fanrong_8d91b794	lucas	Look at them, Dad! It's a real dragon!	game/03_chapter_01.rpy	494	lucas "[what]"
ch1_city_fanrong_f5f6aeb6	sarah	Mom! Dad! It's the Prosperity Dragon!	game/03_chapter_01.rpy	496	sarah "[what]"
ch1_city_fanrong_1a4ee1f3		I glance at the gilded dragon costume, its shimmering scales catching the lantern light with every fluid motion.	game/03_chapter_01.rpy	498	"[what]"
ch1_city_fanrong_b1be1191	dorian	Yeah… The Prosperity Dragon…	game/03_chapter_01.rpy	500	dorian "[what]"
ch1_city_fanrong_eacace94		Lucas can't contain himself. His arms flail as he mimics the twisting, serpentine motions of the dragon dancers, his tiny legs stomping a rhythm of their own on the cobblestone square.	game/03_chapter_01.rpy	502	"[what]"
ch1_city_fanrong_6d42fff5		Sarah joins in, her movements more graceful, while Daniel smirks and crosses his arms, clearly too cool to dance but not immune to the energy.	game/03_chapter_01.rpy	503	"[what]"
ch1_city_fanrong_9787007a	dorian	Careful, kids. You'll wear yourselves out before we even explore the rest of the city.	game/03_chapter_01.rpy	505	dorian "[what]"
ch1_city_fanrong_5c4550ed	daniel	I never get tired, Dad.	game/03_chapter_01.rpy	506	daniel "[what]"
ch1_city_fanrong_9d9509ba	emily	Daniel, please…	game/03_chapter_01.rpy	507	emily "[what]"
ch1_city_fanrong_078fdbb2		As we step closer to the rehearsal, I notice some of the dragon dancers stealing glances in our direction. Whispers ripple through their group, and I catch snippets of their murmurs.	game/03_chapter_01.rpy	509	"[what]"
ch1_city_fanrong_f50730be	performers	It's him… The Dragon of Gale…	game/03_chapter_01.rpy	511	performers "[what]"
ch1_city_fanrong_1b12ebef	performers	Is he watching us? Oh no, my steps are all wrong!	game/03_chapter_01.rpy	512	performers "[what]"
ch1_city_fanrong_447a264f	performers	Do you think he'll criticize us?	game/03_chapter_01.rpy	513	performers "[what]"
ch1_city_fanrong_688e5f47	performers	C-Calm down, you guys. He might report us to the Empress!	game/03_chapter_01.rpy	514	performers "[what]"
